Date : 2021-10-07 08:24:17
Directory : e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS
Total : 234 files,  425681 codes, 4612 comments, 2044 blanks, all 432337 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| XML      |         71 |    408,766 |         37 |         32 |    408,835 |
| C#       |        157 |     16,628 |      4,575 |      1,991 |     23,194 |
| Ini      |          3 |        194 |          0 |         21 |        215 |
| JSON     |          3 |         93 |          0 |          0 |         93 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                       | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\packages\System.Buffers.4.4.0\lib\netstandard2.0\System.Buffers.xml                                                 | XML      |         39 |          0 |          0 |         39 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\packages\System.Buffers.4.4.0\ref\netstandard1.1\System.Buffers.xml                                                 | XML      |         39 |          0 |          0 |         39 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\packages\System.Buffers.4.4.0\ref\netstandard2.0\System.Buffers.xml                                                 | XML      |         39 |          0 |          0 |         39 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\packages\System.Memory.4.5.3\lib\netstandard1.1\System.Memory.xml                                                   | XML      |        353 |          0 |          2 |        355 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\packages\System.Memory.4.5.3\lib\netstandard2.0\System.Memory.xml                                                   | XML      |        353 |          0 |          2 |        355 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\packages\System.Numerics.Vectors.4.4.0\lib\net46\System.Numerics.Vectors.xml                                        | XML      |      2,597 |          0 |          0 |      2,597 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\packages\System.Numerics.Vectors.4.4.0\lib\netstandard1.0\System.Numerics.Vectors.xml                               | XML      |      2,597 |          0 |          0 |      2,597 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\packages\System.Numerics.Vectors.4.4.0\lib\netstandard2.0\System.Numerics.Vectors.xml                               | XML      |      2,597 |          0 |          0 |      2,597 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\packages\System.Numerics.Vectors.4.4.0\lib\portable-net45+win8+wp8+wpa81\System.Numerics.Vectors.xml                | XML      |      2,597 |          0 |          0 |      2,597 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\packages\System.Numerics.Vectors.4.4.0\ref\net46\System.Numerics.Vectors.xml                                        | XML      |      2,597 |          0 |          0 |      2,597 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\packages\System.Numerics.Vectors.4.4.0\ref\netstandard1.0\System.Numerics.Vectors.xml                               | XML      |      2,597 |          0 |          0 |      2,597 |
