"filename", "language", "XML", "C#", "JSON", "Ini", "comment", "blank", "total"
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\obj\Debug\ViewsOther\MainView.g.i.cs", "C#", 0, 129, 0, 0, 15, 34, 178
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\obj\Debug\ViewsOther\TiledView.g.i.cs", "C#", 0, 85, 0, 0, 15, 24, 124
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\obj\Debug\ViewsOther\view1.g.i.cs", "C#", 0, 49, 0, 0, 15, 12, 76
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\obj\Debug\ViewsOther\view2.g.i.cs", "C#", 0, 49, 0, 0, 15, 12, 76
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\obj\Debug\Views\AddSerialObjView.g.i.cs", "C#", 0, 110, 0, 0, 15, 33, 158
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\obj\Debug\Views\BluePrintView.g.cs", "C#", 0, 131, 0, 0, 15, 41, 187
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\obj\Debug\Views\BluePrintView.g.i.cs", "C#", 0, 131, 0, 0, 15, 41, 187
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\obj\Debug\Views\CheckValueView.g.i.cs", "C#", 0, 122, 0, 0, 15, 33, 170
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\obj\Debug\Views\ChooseComView.g.i.cs", "C#", 0, 86, 0, 0, 15, 24, 125
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\obj\Debug\Views\ConnectDBView.g.cs", "C#", 0, 78, 0, 0, 15, 17, 110
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\obj\Debug\Views\ConnectDBView.g.i.cs", "C#", 0, 78, 0, 0, 15, 17, 110
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\obj\Debug\Views\ConnectionSettingView.g.i.cs", "C#", 0, 122, 0, 0, 16, 35, 173
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\obj\Debug\Views\CreateSensorView.g.cs", "C#", 0, 104, 0, 0, 15, 27, 146
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\obj\Debug\Views\CreateSensorView.g.i.cs", "C#", 0, 104, 0, 0, 15, 27, 146
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\obj\Debug\Views\DataCheckView.g.cs", "C#", 0, 122, 0, 0, 15, 33, 170
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\obj\Debug\Views\DataCheckView.g.i.cs", "C#", 0, 122, 0, 0, 15, 33, 170
